Company1_price_high,Company1_price_low,Company2_price_high,Company2_price_low,Company3_price_high,Company3_price_low,Company4_price_high,Company4_price_low
108.0,99.0,0.14964459836483,0.1396682858467102,6.5,6.375,24.03499984741211,23.020000457763672
117.75,102.0,0.1596208959817886,0.1396682858467102,6.4375,6.375,24.15999984741211,23.3700008392334
126.5,117.0,0.1695972084999084,0.14964459836483,6.375,6.25,23.989999771118164,23.75
124.0,118.0,0.1695972084999084,0.1695972084999084,6.25,6.125,24.0,23.049999237060547
120.0,113.25,0.179573506116867,0.1596208959817886,6.25,5.875,23.89299964904785,22.25
119.5,114.0999984741211,0.179573506116867,0.1596208959817886,5.875,5.4375,23.450000762939453,22.3799991607666
120.0,115.0199966430664,0.1695972084999084,0.1695972084999084,5.5,5.375,23.309999465942383,22.309999465942383
126.0,118.0500030517578,0.1695972084999084,0.1695972084999084,5.5,5.4375,22.739999771118164,22.309999465942383
125.0,121.75,0.1695972084999084,0.1695972084999084,5.9375,5.5625,22.950000762939453,22.25
128.0,124.75,0.1695972084999084,0.1695972084999084,5.9375,5.875,23.6299991607666,22.32999992370605
126.0,125.0999984741211,0.1695972084999084,0.1695972084999084,5.875,5.8125,23.850000381469727,23.01000022888184
126.0,123.5,0.1695972084999084,0.1695972084999084,5.8125,5.625,24.5,23.40999984741211
128.0,126.0,0.1695972084999084,0.1296919882297516,5.5625,5.5,24.6200008392334,24.0
128.0,123.0,0.1695972084999084,0.1695972084999084,5.5,5.5,24.496999740600582,23.559999465942383
126.5,125.0,0.1596208959817886,0.1596208959817886,5.5,5.5,24.5,24.1299991607666
130.0,125.0,0.1695972084999084,0.1596208959817886,5.625,5.5,24.457000732421875,23.899999618530277
135.0,129.10000610351562,0.1695972084999084,0.14964459836483,5.625,5.5625,24.3700008392334,23.93000030517578
134.89999389648438,125.0,0.179573506116867,0.1695972084999084,5.625,5.5625,24.299999237060547,23.780000686645508
132.0,124.51000213623048,0.1995261311531067,0.1695972084999084,5.6875,5.625,24.770000457763672,24.020999908447266
127.0,125.0,0.1895498186349868,0.179573506116867,5.75,5.6875,27.600000381469727,24.38500022888184
126.0,124.9000015258789,0.1895498186349868,0.179573506116867,5.625,5.375,25.989999771118164,24.777999877929688
124.0,118.75,0.2095024287700653,0.179573506116867,5.375,5.375,25.25,24.0
119.01000213623048,115.0,0.1995261311531067,0.1895498186349868,5.875,5.375,24.8799991607666,23.61000061035156
115.5,107.5,0.179573506116867,0.179573506116867,6.0625,5.9375,28.28199958801269,23.25
120.01000213623048,111.5,0.1995261311531067,0.1895498186349868,6.0625,5.875,24.479999542236328,23.170000076293945
122.0,116.75,0.1895498186349868,0.1895498186349868,5.9375,5.875,24.450000762939453,23.525999069213867
123.5,118.75,0.179573506116867,0.179573506116867,5.875,5.75,24.309999465942383,23.280000686645508
123.0,119.0,0.2194787412881851,0.179573506116867,5.9375,5.75,24.229999542236328,22.780000686645508
130.0,118.5,0.1895498186349868,0.179573506116867,5.6875,5.6875,23.93000030517578,22.65999984741211
129.75,123.25,0.1895498186349868,0.1895498186349868,5.625,5.5,24.1299991607666,23.600000381469727
134.9499969482422,126.0,0.1995261311531067,0.179573506116867,5.5,5.375,24.0,23.399999618530277
135.0,131.0,0.1995261311531067,0.1995261311531067,5.5,5.0625,23.96999931335449,23.200000762939453
