Company1_price,Company2_price,Company3_price,Company4_price
329.989990234375,0.4190048575401306,3.375,18.190000534057617
313.0,0.4190048575401306,3.9375,17.850000381469727
295.0,0.4190048575401306,4.0625,18.06999969482422
285.0400085449219,0.4190048575401306,4.75,18.5
284.0,0.4389574825763702,4.6875,19.020000457763672
290.0,0.4489337801933288,4.375,19.25
275.0,0.4289811551570892,4.25,18.209999084472656
274.75,0.4289811551570892,4.0,18.350000381469727
255.0,0.4389574825763702,4.125,17.93000030517578
231.1999969482422,0.4389574825763702,4.3125,18.5
242.0,0.4688864052295685,4.3125,18.51000022888184
238.0,0.409028559923172,4.3125,18.31999969482422
238.0,0.4289811551570892,4.3125,19.200000762939453
240.0,0.4289811551570892,4.0,18.899999618530277
240.0,0.4389574825763702,4.0,18.43000030517578
240.0,0.3990522623062134,4.0625,19.149999618530277
